"petal_length","petal_width","regression","residuals","squared_residuals"
"6","2.5","2.097813036020583","0.4021869639794171","0.16175435399498095"
"5.1","1.9","1.953545776157804","-0.05354577615780398","0.0028671501443416495"
"5.9","2.1","2.081783340480274","0.018216659519726175","0.00033184668405763026"
"5.6","1.8","2.033694253859348","-0.23369425385934783","0.054613004286877306"
"5.8","2.2","2.0657536449399654","0.1342463550600348","0.01802208384690493"
"6.6","2.1","2.1939912092624354","-0.09399120926243532","0.008834347418614906"
"4.5","1.7","1.8573676029159514","-0.15736760291595142","0.024764562447512562"
"6.3","1.8","2.145902122641509","-0.3459021226415089","0.11964827844790145"
"5.8","1.8","2.0657536449399654","-0.26575364493996534","0.07062499979887717"
"6.1","2.5","2.1138427315608914","0.3861572684391086","0.14911743596835375"
"5.1","2","1.953545776157804","0.04645422384219611","0.002157994912780861"
"5.3","1.9","1.9856051672384214","-0.08560516723842149","0.007328244657918112"
"5.5","2.1","2.017664558319039","0.08233544168096119","0.0067791249567989605"
"5","2","1.9375160806174954","0.06248391938250464","0.003904240181399339"
"5.1","2.4","1.953545776157804","0.446454223842196","0.19932137398653768"
"5.3","2.3","1.9856051672384214","0.3143948327615784","0.09884411086718087"
"5.5","1.8","2.017664558319039","-0.21766455831903886","0.047377859948222266"
"6.7","2.2","2.210020904802744","-0.010020904802743758","0.00010041853306565291"
"6.9","2.3","2.242080295883362","0.05791970411663794","0.0033546921249588855"
"5","1.5","1.9375160806174954","-0.43751608061749536","0.1914203207988947"
"5.7","2.3","2.049723949399657","0.25027605060034297","0.06263810150410544"
"4.9","2","1.9214863850771866","0.07851361492281339","0.006164387728247825"
"6.7","2","2.210020904802744","-0.21002090480274394","0.04410878045416323"
"4.9","1.8","1.9214863850771866","-0.12148638507718656","0.014758941759122459"
"5.7","2.1","2.049723949399657","0.050276050600343236","0.0025276812639682734"
"6","1.8","2.097813036020583","-0.29781303602058284","0.08869260442379698"
"4.8","1.8","1.9054566895368779","-0.10545668953687781","0.011121113368077435"
"4.9","1.8","1.9214863850771866","-0.12148638507718656","0.014758941759122459"
"5.6","2.1","2.033694253859348","0.06630574614065221","0.004396451971268616"
"5.8","1.6","2.0657536449399654","-0.4657536449399653","0.21692645777486325"
"6.1","1.9","2.1138427315608914","-0.2138427315608915","0.045728713841423504"
"6.4","2","2.161931818181818","-0.1619318181818179","0.02622191373966933"
"5.6","2.2","2.033694253859348","0.1663057461406523","0.027657601199399088"
"5.1","1.5","1.953545776157804","-0.4535457761578039","0.20570377107058477"
"5.6","1.4","2.033694253859348","-0.633694253859348","0.40156840737435573"
"6.1","2.3","2.1138427315608914","0.1861572684391084","0.03465452859271027"
"5.6","2.4","2.033694253859348","0.36630574614065203","0.13417989965565982"
"5.5","1.8","2.017664558319039","-0.21766455831903886","0.047377859948222266"
"4.8","1.8","1.9054566895368779","-0.10545668953687781","0.011121113368077435"
"5.4","2.1","2.0016348627787304","0.09836513722126972","0.00967570022055922"
"5.6","2.4","2.033694253859348","0.36630574614065203","0.13417989965565982"
"5.1","2.3","1.953545776157804","0.34645422384219593","0.1200305292180984"
"5.1","1.9","1.953545776157804","-0.05354577615780398","0.0028671501443416495"
"5.9","2.3","2.081783340480274","0.2182166595197259","0.047618510491947985"
"5.7","2.5","2.049723949399657","0.45027605060034315","0.2027485217442428"
"5.2","2.3","1.9695754716981129","0.33042452830188696","0.10918036890352449"
"5","1.9","1.9375160806174954","-0.03751608061749545","0.0014074563048984178"
"5.2","2","1.9695754716981129","0.030424528301887133","0.0009256519223923311"
"5.4","2.3","2.0016348627787304","0.29836513722126945","0.08902175510906694"
"5.1","1.8","1.953545776157804","-0.15354577615780385","0.023576305375902405"
